nano 2.2.6-2
ncurses 5.9-6
neon 0.30.0-1
netctl 1.7-1
nettle 2.7.1-1
network-manager-applet 0.9.8.10-1
networkmanager 0.9.8.10-1
networkmanager-dispatcher-ntpd 1.0-6
networkmanager-openconnect 0.9.8.6-1
networkmanager-openvpn 0.9.8.4-1
networkmanager-pptp 0.9.8.4-2
networkmanager-vpnc 0.9.8.6-1
nitrogen 1.5.2-1
nodejs 0.10.28-3
nouveau-dri 10.1.4-1
nspr 4.10.5-1
nss 3.16.1-1
ntp 4.2.7.p441-1
openconnect 1:5.03-1
opencore-amr 0.1.3-1
openexr 2.1.0-1
openjpeg 1.5.2-1
openresolv 3.5.6-1
openssh 6.6p1-2
openssl 1.0.1.g-1
openvpn 2.3.4-1
opus 1.1-1
orbit2 2.14.19-3
orc 0.4.19-1
os-prober 1.58-1
p11-kit 0.20.2-1
p7zip 9.20.1-9
package-query 1.2-2
pacman 4.1.2-6
pacman-mirrorlist 20140531-1
pam 1.1.8-4
pambase 20130928-1
pango 1.36.3-2
pangomm 2.34.0-1
parted 3.1-4
patch 2.7.1-2
pciutils 3.2.1-1
pcmciautils 018-7
pcre 8.35-1
perl 5.18.2-2
perl-error 0.17022-1
perl-file-next 1.12-1
perl-xml-parser 2.41-4
perl-xml-simple 2.20-1
pinentry 0.8.3-1
pixman 0.32.4-1
pkg-config 0.28-1
pnmixer 0.5.1-2
polkit 0.112-2
poppler 0.26.1-1
poppler-glib 0.26.1-1
popt 1.16-7
ppp 2.4.6-2
pptpclient 1.7.2-5
procps-ng 3.3.9-3
protobuf 2.5.0-3
psmisc 22.21-2
pth 2.0.7-5
pygobject-devel 3.12.2-1
pygobject2-devel 2.28.6-10
pygtk 2.24.0-3
python 3.4.1-1
python-cairo 1.10.0-4
python-gobject 3.12.2-1
python-xdg 0.25-2
python2 2.7.6-3
python2-beaker 1.6.4-2
python2-cairo 1.10.0-1
python2-gobject 3.12.2-1
python2-gobject2 2.28.6-10
python2-keybinder2 0.3.0-2
python2-mako 0.9.1-2
python2-markupsafe 0.23-1
python2-netifaces 0.10.4-1
python2-notify 0.1.1-12
python2-xdg 0.25-2
qca 2.0.3-4
qca-ossl 2.0.0-7
